Name,Address,Category,Website,Notes
Watershed Coworking,1112 Fort St Victoria BC,Coworking,watershedcoworking.com/victoria,Top recommendation; 5th floor
KWENCH Fort St,843 Fort St Victoria BC,Coworking,clubkwench.com,
KWENCH Store St,2031 Store St Victoria BC,Coworking,clubkwench.com,
Fort Tectoria,777 Fort St Victoria BC,Coworking / Tech Hub,forttectoria.ca,VIATEC is inside same building
The Dock,722 Cormorant St Victoria BC V8W 1P8,Coworking,thedockvictoria.com,Scale Collaborative operates this
Digital Desks,810 Humboldt St Suite A02 Victoria BC,Coworking,digitaldesks.ca,Inside Parkside Hotel
Victopia,1824 Store St Victoria BC,Coworking,victopia.co,2nd floor
Spaces Uptown,301-3450 Uptown Blvd Victoria BC V8Z 0B9,Coworking,spacesworks.com/victoria/uptown-vic,Suburban - note outside downtown
Songhees Innovation Centre,1100 Admirals Rd Victoria BC,Coworking / Indigenous Tech,songheesinnovationcentre.ca,
Space Station,517 Fort St Victoria BC,Coworking,spacestation.ca,
