Name,Address,Category,Website,Article,Notes,Lat,Lng
The Fairmont Empress,721 Government St Victoria BC V8W 1W5,Hotel,fairmont.com/empress-victoria,Spoke-4 Visitors Guide,Afternoon Tea + Bengal + Veranda all same pin,48.421640,-123.367651
Hotel Grand Pacific,463 Belleville St Victoria BC,Hotel,hotelgrandpacific.com,Spoke-4 Visitors Guide,Ownership changed to InnVest Apr 2026,48.420643,-123.372550
Coast Victoria Hotel & Marina by APA,146 Kingston St Victoria BC,Hotel,coasthotels.com,Spoke-4 Visitors Guide,,48.422224,-123.379687
Huntingdon Hotel & Suites,330 Quebec St Victoria BC,Hotel,huntingdonhotelandsuites.com,Spoke-4 Visitors Guide,Near CFB Esquimalt section,48.421456,-123.375316
Chateau Victoria Hotel & Suites,740 Burdett Ave Victoria BC,Hotel,chateauvictoria.com,Spoke-4 Visitors Guide,Clive's Classic Lounge is inside,48.422303,-123.364367
Inn at Laurel Point,680 Montreal St Victoria BC,Hotel,laurelpoint.com,Spoke-4 Visitors Guide,Aura restaurant inside,48.423541,-123.376749
The Parkside Hotel & Spa,810 Humboldt St Victoria BC,Hotel,parksidevictoria.com,Spoke-4 Visitors Guide,Digital Desks coworking is inside,48.420434,-123.363072
Oak Bay Beach Hotel,1175 Beach Dr Victoria BC,Hotel,,Research Notes,Western Angel Investment Summit venue,48.424300,-123.320500
Delta Hotels Victoria Ocean Pointe,100 Harbour Rd Victoria BC,Hotel,,Spoke-4 Visitors Guide,,48.426943,-123.375037
Il Terrazzo Ristorante,555 Johnson St Victoria BC,Restaurant - Upscale,ilterrazzo.com,Spoke-4 Visitors Guide,Ian's go-to for visiting investors; ownership changed Apr 2026,48.427536,-123.368751
10 Acres Bistro,611 Courtney St Victoria BC,Restaurant - Upscale,10acres.ca,Spoke-4 Visitors Guide,Board dinners,48.423363,-123.367572
10 Acres Commons,620 Humboldt St Victoria BC,Restaurant - Upscale,10acres.ca,Spoke-4 Visitors Guide,Same group as Bistro,48.422876,-123.367746
Marilena Cafe & Raw Bar,1525 Douglas St Victoria BC,Restaurant - Upscale,marilenacafe.com,Spoke-4 Visitors Guide,YAM 2025 Restaurant of Year; private dining up to 100,48.428439,-123.364175
The Courtney Room,619 Courtney St Victoria BC,Restaurant - Upscale,thecourtneyroom.com,Spoke-4 Visitors Guide,Private dining 8+ guests $78-140/pp,48.423317,-123.367220
LURE Restaurant & Bar,100 Harbour Rd Victoria BC,Restaurant - Upscale,lurevictoria.com,Spoke-4 Visitors Guide,Inside Delta Ocean Pointe,48.426943,-123.375037
Glo Restaurant + Lounge,104-2940 Jutland Rd Victoria BC,Restaurant - Upscale,glovictoria.com,Spoke-4 Visitors Guide,Investor dinners when weather cooperates,48.438804,-123.378909
Aura Waterfront Restaurant + Patio,680 Montreal St Victoria BC,Restaurant - Upscale,aurarestaurant.ca,Spoke-4 Visitors Guide,Private dining Cove 8 pax / Inlet 12 pax,48.423541,-123.376749
Wind Cries Mary,45 Bastion Square Victoria BC,Restaurant - Upscale,windcriesmary.ca,Spoke-4 Visitors Guide,Private dining up to 30,48.425658,-123.368757
The Ruby (Johnson),642 Johnson St Victoria BC,Restaurant - Casual,therubyvictoria.com,Spoke-4 Visitors Guide,,48.427448,-123.365470
The Local,1205 Wharf St Victoria BC,Restaurant - Casual,thelocalvictoria.com,Spoke-4 Visitors Guide,,48.426106,-123.369847
CRAFT Beer Market,450 Swift St Victoria BC,Restaurant - Casual,,Spoke-4 Visitors Guide,,48.429825,-123.370830
Cactus Club,1125 Douglas St Victoria BC,Restaurant - Casual,,Spoke-4 Visitors Guide,,48.424824,-123.365048
Floyd's Diner,425 Quebec St Victoria BC,Restaurant - Casual,,Spoke-4 Visitors Guide,James Bay location; original downtown Yates St location closed Jan 2019,48.419994,-123.373161
Barb's Fish & Chips,1 Dallas Rd Victoria BC V8V 0B2,Attraction,barbsfishandchips.com,Spoke-4 Visitors Guide,Article says skip it; Seasonal: open March-October only,48.423195,-123.383156
Jackson's Ice Cream Float,1 Dallas Rd Victoria BC V8V 0B2,Attraction,,Spoke-4 Visitors Guide,Article recommends over Barb's,48.423195,-123.383156
Discovery Coffee (Cook St),664 Discovery St Victoria BC,Coffee Shop,discoverycoffee.com,Spoke-3 Where to Work,,48.432040,-123.364965
Discovery Coffee (Oak Bay),1920 Oak Bay Ave Victoria BC,Coffee Shop,discoverycoffee.com,Spoke-3 Where to Work,,48.426665,-123.325107
Discovery Coffee (James Bay),281 Menzies St Victoria BC,Coffee Shop,discoverycoffee.com,Spoke-3 Where to Work,,48.416761,-123.372806
Habit Coffee (Pandora),552 Pandora Ave Victoria BC,Coffee Shop,habitcoffee.com,Spoke-3 Where to Work,,48.428631,-123.367672
Habit Coffee (Atrium),808 Yates St Victoria BC,Coffee Shop,habitcoffee.com,Spoke-3 Where to Work,,48.426145,-123.361655
Union Pacific Coffee Co.,537 Herald St Victoria BC,Coffee Shop,unionpacificcoffee.ca,Spoke-3 Where to Work,Top pick for remote workers,48.430099,-123.368385
Moka House (Cook St),345 Cook St Victoria BC,Coffee Shop,mokahouse.com,Spoke-3 Where to Work,,48.415266,-123.355820
Hey Happy Coffee,560 Johnson St #122 Victoria BC V8W 3C6,Coffee Shop,heyhappycoffee.com,Spoke-3 Where to Work,No wifi noted,48.427819,-123.369174
Saint Cecilia Coffee,535 Yates St Victoria BC V8W 2Z6,Coffee Shop,saint-cecilia.ca,Spoke-3 Where to Work,,48.426677,-123.369076
Shine Cafe,1548 Fort St Victoria BC,Coffee Shop,shinecafe.ca,Spoke-3 Where to Work,,48.426085,-123.338816
Bean Around The World,533 Fisgard St Victoria BC,Coffee Shop,thebeanvictoria.com,Spoke-3 Where to Work,Chinatown,48.429237,-123.368469
Bows Coffee Roasters,483 Garbally Rd Victoria BC,Coffee Shop,bowscoffee.com,Spoke-3 Where to Work,,48.440235,-123.373677
Caffe Fantastico,965 Kings Rd Victoria BC,Coffee Shop,caffefantastico.com,Spoke-3 Where to Work,60-min wifi limit,48.437352,-123.358952
Murchie's Tea & Coffee,1110 Government St Victoria BC,Coffee Shop,murchies.com,Spoke-3 Where to Work,,48.425349,-123.367980
Milano Coffee,817 Government St Victoria BC,Coffee Shop,milanocoffee.ca,Spoke-3 Where to Work,,48.423399,-123.368072
Category 12 Brewing,2200 Keating Cross Rd Saanichton BC V8M 2A6,Brewery,category12beer.com,Spoke-4 Visitors Guide,Saanich - note this is outside downtown,48.615000,-123.451000
Phillips Brewing & Malting Co.,2010 Government St Victoria BC,Brewery,phillipsbeer.com,Spoke-3 & Spoke-4,Beer on tap at Watershed,48.432113,-123.367985
Driftwood Brewery,102-450 Hillside Ave Victoria BC V8T 1Y7,Brewery,driftwoodbeer.com,Spoke-4 Visitors Guide,Fat Tug IPA,48.437136,-123.374253
Clive's Classic Lounge,740 Burdett Ave Victoria BC,Bar,clivesclassiclounge.com,Spoke-4 Visitors Guide,World's 50 Best Bars Discovery list; inside Chateau Victoria,48.422303,-123.364367
Union Club of BC,805 Gordon St Victoria BC,Bar / Private Club,unionclub.com,Spoke-4 Visitors Guide,Post-VIATEC event VIP receptions,48.422891,-123.367164
Watershed Coworking,1112 Fort St Victoria BC,Coworking,watershedcoworking.com/victoria,Spoke-3 Where to Work,Top recommendation; 5th floor,48.423580,-123.353223
KWENCH Fort St,843 Fort St Victoria BC,Coworking,clubkwench.com,Spoke-3 Where to Work,,48.423976,-123.360538
KWENCH Store St,2031 Store St Victoria BC,Coworking,clubkwench.com,Spoke-3 Where to Work,,48.432106,-123.369529
Fort Tectoria,777 Fort St Victoria BC,Coworking / Tech Hub,forttectoria.ca,Spoke-3 + Hub,VIATEC is inside same building,48.424209,-123.363191
The Dock,722 Cormorant St Victoria BC V8W 1P8,Coworking,thedockvictoria.com,Spoke-3 + Spoke-4,Scale Collaborative operates this,48.428843,-123.363654
Digital Desks,810 Humboldt St Suite A02 Victoria BC,Coworking,digitaldesks.ca,Spoke-3 Where to Work,Inside Parkside Hotel,48.420434,-123.363072
Victopia,1824 Store St Victoria BC,Coworking,victopia.co,Spoke-3 Where to Work,2nd floor,48.430798,-123.370033
Spaces Uptown,301-3450 Uptown Blvd Victoria BC V8Z 0B9,Coworking,spacesworks.com/victoria/uptown-vic,Spoke-3 Where to Work,Suburban - note outside downtown,48.462000,-123.383000
Songhees Innovation Centre,1100 Admirals Rd Victoria BC,Coworking / Indigenous Tech,songheesinnovationcentre.ca,Spoke-3 Where to Work,,48.428500,-123.387200
Space Station,517 Fort St Victoria BC,Coworking,spacestation.ca,Spoke-3 Where to Work,,48.424903,-123.368874
VIATEC,777 Fort St Victoria BC,Tech Organization,viatec.ca,Hub + Spoke-3 + Spoke-4,Inside Fort Tectoria,48.424209,-123.363191
Victoria Conference Centre,720 Douglas St Victoria BC,Conference Venue,victoriaconference.com,Spoke-4 Visitors Guide,,48.421344,-123.366342
MetaLab,524 Yates St Unit 101 Victoria BC V8W 1K8,Tech Company,metalab.com,Outreach Target,,48.427099,-123.369417
Redbrick,1515 Douglas St Suite 520 Victoria BC,Tech Company,rdbrck.com,Outreach Target,,48.428251,-123.363739
Certn,300-1006 Fort St Victoria BC V8V 3K4,Tech Company,certn.co,Outreach Target,,48.423913,-123.356526
Barnacle Systems (BRNKL),1327 Beach Dr Victoria BC V8S 2N4,Tech Company,brnkl.io,Outreach Target,,48.424300,-123.320500
Animikii Inc.,210-1100 Admirals Rd Victoria BC V9A 2P6,Tech Company,animikii.com,Spoke-3 Where to Work,Songhees Innovation Centre partner,48.428500,-123.387200
Vecima Networks,201-771 Vanalman Ave Victoria BC V8Z 3B8,Tech Company,vecima.com,Spoke-2 Tech Community,TSX: VCM,48.459000,-123.394000
Tiny Ltd,101-524 Yates St Victoria BC V8W 1K8,Tech Company,tiny.com,Spoke-2 Tech Community,TSX: TINY,48.427099,-123.369417
ALUULA Composites,300-4240 Glanford Ave Victoria BC V8Z 4B8,Tech Company,aluula.com,Spoke-2 Tech Community,TSXV: AUUA,48.459000,-123.379000
AggregateIQ,1070 Douglas St Victoria BC V8W 2C4,Tech Company,aggregateiq.com,Spoke-2 Tech Community,,48.424461,-123.365830
Dyspatch,737 Fort St Victoria BC,Tech Company,dyspatch.io,Spoke-2 Tech Community,,48.424370,-123.364274
MarineLabs,2100 Douglas St Victoria BC V8T 4L3,Tech Company,marinelabs.io,Spoke-2 Tech Community,,48.432917,-123.365012
Open Ocean Robotics,2L-4476 Markham St Victoria BC V8Z 7X8,Tech Company,openoceanrobotics.com,Spoke-2 Tech Community,,48.452000,-123.384000
StarFish Medical,455 Boleskine Rd Victoria BC V8Z 1E7,Tech Company,starfishmedical.com,Spoke-2 Tech Community,,48.456000,-123.381000
Iris Dynamics,2-3980 Quadra St Victoria BC V8X 1J9,Tech Company,irisdynamics.com,Spoke-2 Tech Community,,48.448228,-123.361697
Stocksy United,320-560 Johnson St Victoria BC V8W 3C6,Tech Company,stocksy.com,Spoke-2 Tech Community,Worker-owned co-op,48.427774,-123.368861
Pani Energy,401-765 Broughton St Victoria BC V8W 1E2,Tech Company,pani.energy,Spoke-2 Tech Community,,48.423416,-123.363585
Blue Wizard Digital,Victoria BC,Game Studio,bluewizard.com,Spoke-2 Tech Community,,48.428318,-123.364953
Codename Entertainment,9-625 Alpha St Victoria BC V8Z 1B5,Game Studio,codenameentertainment.com,Spoke-2 Tech Community,,48.446828,-123.373685
Hololabs,401-31 Bastion Square Victoria BC,Game Studio,hololabs.org,Spoke-2 Tech Community,,48.425728,-123.368383
James Joyce Bistro / OpenHack,1175 Douglas St Victoria BC,Community Event Venue,,Hub Post,Weekly OpenHack meetup venue,48.425151,-123.364683
BC Parliament Buildings,501 Belleville St Victoria BC,Landmark,,Spoke-4 Visitors Guide,Legislative Dining Room,48.419383,-123.370296
Royal BC Museum,675 Belleville St Victoria BC,Attraction,,Spoke-4 Visitors Guide,,48.419724,-123.367868
Butchart Gardens,800 Benvenuto Ave Brentwood Bay BC,Attraction,,Spoke-4 Visitors Guide,Outside Victoria - 20min drive,48.565345,-123.469562
Fisherman's Wharf,1 Dallas Rd Victoria BC V8V 0B2,Landmark,,Spoke-4 Visitors Guide,Barb's + Jackson's both here,48.423195,-123.383156
Harbour Air,950 Wharf St Victoria BC V8W 1T3,Transport Operator,harbourair.com,Spoke-5 Getting To From,Victoria Inner Harbour terminal,48.423614,-123.370532
Helijet,79 Dallas Rd Victoria BC V8V 1A2,Transport Operator,helijet.com,Spoke-5 Getting To From,Victoria Harbour Heliport,48.418179,-123.386286
BC Ferries (Swartz Bay),11300 Patricia Bay Hwy North Saanich BC V8L 5J4,Transport Operator,bcferries.com,Spoke-5 Getting To From,Swartz Bay terminal; 32km north of downtown Victoria,48.687000,-123.397000
Clipper Ferry,470 Belleville St Victoria BC,Transport Operator,clippervacations.com,Spoke-5 Getting To From,Victoria Inner Harbour; Steamship Building,48.421077,-123.371333
Kenmore Air,950 Wharf St Victoria BC V8W 1T3,Transport Operator,kenmoreair.com,Spoke-5 Getting To From,Shares Inner Harbour terminal with Harbour Air,48.423614,-123.370532
